	log_likelihood
1638	334.0888
1639	337.62915
1640	324.97278
1641	344.60944
1642	332.53946
1643	297.72784
1644	257.5321
1645	375.43124
1646	311.2738
1647	306.54364
1648	357.25177
1649	317.85532
1650	334.69974
1651	349.1369
1652	381.5166
1653	350.11285
1654	226.03549
1655	375.3011
1656	336.93756
1657	353.0765
1658	351.84894
1659	317.23776
1660	345.91052
1661	353.36343
1662	299.97772
1663	360.6774
1664	376.47772
1665	363.37994
1666	365.3802
1667	99.24913
1668	360.7111
1669	368.29068
1670	353.57935
1671	340.2889
1672	371.20172
1673	210.2662
1674	344.2328
1675	358.72342
1676	387.41962
1677	348.64453
1678	375.91193
1679	364.4339
1680	-5.954618
1681	382.01135
1682	355.62585
1683	251.51505
1684	320.17117
1685	278.90347
1686	373.62305
1687	379.15677
1688	368.82455
1689	366.85806
1690	345.06836
1691	334.7753
1692	369.26886
1693	375.21906
1694	357.18036
1695	339.98062
1696	73.88999
1697	330.99017
1698	346.64896
1699	351.78754
1700	356.59808
1701	349.0326
1702	335.8183
1703	333.30008
1704	340.583
1705	80.56272
1706	312.1728
1707	386.44318
1708	334.29514
1709	354.0427
1710	287.83185
1711	315.3024
1712	355.13385
1713	358.81366
1714	388.80084
1715	342.0694
1716	387.298
1717	360.01505
1718	367.5169
1719	333.41327
1720	385.65253
1721	368.2887
1722	340.9168
1723	372.75668
1724	342.25482
1725	340.6608
1726	377.3955
1727	61.52135
1728	316.5297
1729	369.57562
1730	366.33267
1731	356.0975
1732	379.4502
1733	350.58542
1734	349.6469
1735	386.18103
1736	170.62007
1737	341.20102
1738	324.02777
1739	292.2438
1740	368.86285
1741	315.74445
1742	373.60703
1743	355.88153
1744	297.48987
1745	324.90887
1746	334.03638
1747	375.0655
1748	342.26468
1749	379.38617
1750	346.90887
1751	375.54944
1752	-88.63212
1753	310.18823
1754	337.9136
1755	346.74457
1756	328.8312
1757	305.53424
1758	384.16595
1759	355.98846
1760	356.70453
1761	280.11188
1762	365.93442
1763	334.60043
1764	354.2232
1765	348.08194
1766	360.51337
1767	335.89996
1768	344.5062
1769	291.26318
1770	332.7231
1771	360.9036
1772	363.1396
1773	352.61942
1774	372.99786
1775	383.33554
1776	310.96567
1777	328.0307
1778	378.10846
1779	342.35327
1780	354.07
1781	331.77954
1782	389.1541
1783	219.85689
1784	335.13184
1785	344.35657
1786	341.5435
1787	325.87463
1788	331.85617
1789	331.35757
1790	358.13242
1791	398.21832
1792	351.16852
1793	376.59866
1794	364.1911
1795	372.79877
1796	348.9965
1797	314.99844
1798	395.26297
1799	337.72192
1800	345.8206
1801	370.5672
1802	365.88968
1803	329.35712
1804	388.14984
1805	347.2516
1806	71.13112
1807	339.89328
1808	367.35577
1809	356.8393
1810	369.02472
1811	323.05566
1812	393.22354
